article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52453,48,4,4,"http://","",4,2025-09-17 14:17:07.573000000,""
52457,63,1,1,"http://","",1,2025-03-25 17:40:40.660000000,""
52457,63,2,2,"http://","",2,2025-03-25 17:40:40.663000000,""
52457,63,3,3,"http://","",3,2025-03-25 17:40:40.667000000,""
52457,63,4,4,"http://","",4,2025-03-25 17:40:40.670000000,""
52458,36,1,1,"http://","",1,2025-08-27 17:26:45.707000000,""
52458,36,2,2,"http://","",2,2025-08-27 17:26:45.710000000,""
52458,36,3,3,"http://","",3,2025-08-27 17:26:45.713000000,""
52458,36,4,4,"http://","",4,2025-08-27 17:26:45.717000000,""
52459,23,1,1,"http://","",1,2022-04-07 21:36:30.353000000,""
52459,23,2,2,"http://","",2,2022-04-07 21:36:30.367000000,""
52459,23,3,3,"http://","",3,2022-04-07 21:36:30.387000000,""
52459,23,4,4,"http://","",4,2022-04-07 21:36:30.400000000,""
52460,16,1,1,"http://","",1,2022-04-07 21:37:19.497000000,""
52460,16,2,2,"http://","",2,2022-04-07 21:37:19.500000000,""
52460,16,3,3,"http://","",3,2022-04-07 21:37:19.500000000,""
52460,16,4,4,"http://","",4,2022-04-07 21:37:19.500000000,""
52461,21,1,1,"http://","",1,2022-04-07 21:38:51.557000000,""
52461,21,2,2,"http://","",2,2022-04-07 21:38:51.557000000,""
52461,21,3,3,"http://","",3,2022-04-07 21:38:51.560000000,""
52461,21,4,4,"http://","",4,2022-04-07 21:38:51.567000000,""
52462,32,1,1,"http://","",1,2025-09-11 13:46:37.803000000,""
52462,32,2,2,"http://","",2,2025-09-11 13:46:37.807000000,""
52462,32,3,3,"http://","",3,2025-09-11 13:46:37.810000000,""
52462,32,4,4,"http://","",4,2025-09-11 13:46:37.813000000,""
52463,32,1,1,"http://","",1,2025-09-11 13:48:26.567000000,""
52463,32,2,2,"http://","",2,2025-09-11 13:48:26.573000000,""
52463,32,3,3,"http://","",3,2025-09-11 13:48:26.593000000,""
52463,32,4,4,"http://","",4,2025-09-11 13:48:26.620000000,""
52464,62,1,1,"http://","",1,2025-02-06 13:53:56.070000000,""
52464,62,2,2,"http://","",2,2025-02-06 13:53:56.070000000,""
52464,62,3,3,"http://","",3,2025-02-06 13:53:56.073000000,""
52464,62,4,4,"http://","",4,2025-02-06 13:53:56.077000000,""
52465,65,1,1,"http://","",1,2025-09-11 14:02:08.363000000,""
52465,65,2,2,"http://","",2,2025-09-11 14:02:08.367000000,""
52465,65,3,3,"http://","",3,2025-09-11 14:02:08.370000000,""
52465,65,4,4,"http://","",4,2025-09-11 14:02:08.373000000,""
52466,72,1,1,"http://","",1,2025-05-15 21:18:17.333000000,""
52466,72,2,2,"http://","",2,2025-05-15 21:18:17.333000000,""
52466,72,3,3,"http://","",3,2025-05-15 21:18:17.340000000,""
52466,72,4,4,"http://","",4,2025-05-15 21:18:17.340000000,""
52467,54,1,1,"http://","",1,2024-05-08 15:56:44.063000000,""
52467,54,2,2,"http://","",2,2024-05-08 15:56:44.067000000,""
52467,54,3,3,"http://","",3,2024-05-08 15:56:44.073000000,""
52467,54,4,4,"http://","",4,2024-05-08 15:56:44.083000000,""
52468,22,1,1,"http://","",1,2022-04-07 21:44:53.107000000,""
52468,22,2,2,"http://","",2,2022-04-07 21:44:53.110000000,""
52468,22,3,3,"http://","",3,2022-04-07 21:44:53.110000000,""
52468,22,4,4,"http://","",4,2022-04-07 21:44:53.113000000,""
52469,28,1,1,"http://","",1,2024-10-09 18:19:01.080000000,""
52469,28,2,2,"http://","",2,2024-10-09 18:19:01.093000000,""
52469,28,3,3,"http://","",3,2024-10-09 18:19:01.100000000,""
52469,28,4,4,"http://","",4,2024-10-09 18:19:01.113000000,""
52470,18,1,1,"http://","",1,2025-07-29 21:07:59.723000000,""
52470,18,2,2,"http://","",2,2025-07-29 21:07:59.727000000,""
52470,18,3,3,"http://","",3,2025-07-29 21:07:59.730000000,""
52470,18,4,4,"http://","",4,2025-07-29 21:07:59.733000000,""
52474,40,1,1,"http://","",1,2025-09-12 13:35:43.440000000,""
52474,40,2,2,"http://","",2,2025-09-12 13:35:43.443000000,""
52474,40,3,3,"http://","",3,2025-09-12 13:35:43.443000000,""
52474,40,4,4,"http://","",4,2025-09-12 13:35:43.447000000,""
